"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Clients\salam hack\fintich\src\components\features\landing-page\faq\index.tsx", "TypeScript JSX", 0, 87, 0, 3, 9, 99
"d:\Clients\salam hack\fintich\src\components\features\landing-page\hero-section\index.tsx", "TypeScript JSX", 0, 69, 0, 9, 12, 90
"d:\Clients\salam hack\fintich\src\components\features\landing-page\pricing\index.tsx", "TypeScript JSX", 0, 101, 0, 3, 14, 118
"d:\Clients\salam hack\fintich\src\components\features\landing-page\reviews\index.tsx", "TypeScript JSX", 0, 78, 0, 5, 7, 90
"d:\Clients\salam hack\fintich\src\components\features\landing-page\services\index.tsx", "TypeScript JSX", 0, 89, 0, 5, 9, 103
"d:\Clients\salam hack\fintich\src\components\features\landing-page\why-us\index.tsx", "TypeScript JSX", 0, 144, 0, 10, 11, 165
"d:\Clients\salam hack\fintich\src\components\login-form.tsx", "TypeScript JSX", 0, 64, 0, 0, 2, 66
"d:\Clients\salam hack\fintich\src\components\providers\app-provider\index.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"d:\Clients\salam hack\fintich\src\components\providers\app-provider\react-query-provider.tsx", "TypeScript JSX", 0, 20, 0, 0, 3, 23
"d:\Clients\salam hack\fintich\src\components\providers\app-provider\theme-provider.tsx", "TypeScript JSX", 0, 18, 0, 0, 3, 21
"d:\Clients\salam hack\fintich\src\components\providers\session-provider.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"d:\Clients\salam hack\fintich\src\components\shared\error-alert.tsx", "TypeScript JSX", 0, 32, 0, 0, 4, 36
"d:\Clients\salam hack\fintich\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 172, 0, 0, 16, 188
"d:\Clients\salam hack\fintich\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 100, 0, 0, 10, 110
"d:\Clients\salam hack\fintich\src\components\ui\badge.tsx", "TypeScript JSX", 0, 48, 0, 0, 5, 53
"d:\Clients\salam hack\fintich\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 116, 0, 0, 10, 126
"d:\Clients\salam hack\fintich\src\components\ui\button.tsx", "TypeScript JSX", 0, 54, 0, 0, 5, 59
"d:\Clients\salam hack\fintich\src\components\ui\card.tsx", "TypeScript JSX", 0, 94, 0, 0, 10, 104
"d:\Clients\salam hack\fintich\src\components\ui\chart.tsx", "TypeScript JSX", 0, 339, 0, 1, 34, 374
"d:\Clients\salam hack\fintich\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 25, 0, 0, 5, 30
"d:\Clients\salam hack\fintich\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 147, 0, 0, 14, 161
"d:\Clients\salam hack\fintich\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 121, 0, 0, 14, 135
"d:\Clients\salam hack\fintich\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 250, 0, 0, 19, 269
"d:\Clients\salam hack\fintich\src\components\ui\field.tsx", "TypeScript JSX", 0, 218, 0, 0, 21, 239
"d:\Clients\salam hack\fintich\src\components\ui\input.tsx", "TypeScript JSX", 0, 17, 0, 0, 4, 21
"d:\Clients\salam hack\fintich\src\components\ui\label.tsx", "TypeScript JSX", 0, 16, 0, 0, 5, 21
"d:\Clients\salam hack\fintich\src\components\ui\select.tsx", "TypeScript JSX", 0, 188, 0, 0, 14, 202
"d:\Clients\salam hack\fintich\src\components\ui\separator.tsx", "TypeScript JSX", 0, 21, 0, 0, 5, 26
"d:\Clients\salam hack\fintich\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 125, 0, 0, 14, 139
"d:\Clients\salam hack\fintich\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 664, 0, 10, 50, 724
"d:\Clients\salam hack\fintich\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 11, 0, 0, 3, 14
"d:\Clients\salam hack\fintich\src\components\ui\social-icons.tsx", "TypeScript JSX", 0, 56, 0, 0, 6, 62
"d:\Clients\salam hack\fintich\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 45, 0, 0, 5, 50
"d:\Clients\salam hack\fintich\src\components\ui\table.tsx", "TypeScript JSX", 0, 105, 0, 0, 12, 117
"d:\Clients\salam hack\fintich\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 74, 0, 0, 9, 83
"d:\Clients\salam hack\fintich\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 20, 0, 0, 5, 25
"d:\Clients\salam hack\fintich\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 82, 0, 0, 8, 90
"d:\Clients\salam hack\fintich\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 40, 0, 0, 6, 46
"d:\Clients\salam hack\fintich\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 59, 0, 0, 8, 67
"d:\Clients\salam hack\fintich\src\hooks\use-mobile.ts", "TypeScript", 15, 0, 0, 0, 5, 20
"d:\Clients\salam hack\fintich\src\lib\constants\admin-sidebar.tsx", "TypeScript JSX", 0, 34, 0, 0, 2, 36
"d:\Clients\salam hack\fintich\src\lib\constants\faq.ts", "TypeScript", 22, 0, 0, 0, 1, 23
